code,exchange,source,as_of
510010,SSE,sse_etf_fundlist,2026-02-10
510020,SSE,sse_etf_fundlist,2026-02-10
510030,SSE,sse_etf_fundlist,2026-02-10
510040,SSE,sse_etf_fundlist,2026-02-10
510050,SSE,sse_etf_fundlist,2026-02-10
510060,SSE,sse_etf_fundlist,2026-02-10
510090,SSE,sse_etf_fundlist,2026-02-10
510100,SSE,sse_etf_fundlist,2026-02-10
510130,SSE,sse_etf_fundlist,2026-02-10
510150,SSE,sse_etf_fundlist,2026-02-10
510160,SSE,sse_etf_fundlist,2026-02-10
510170,SSE,sse_etf_fundlist,2026-02-10
510180,SSE,sse_etf_fundlist,2026-02-10
510190,SSE,sse_etf_fundlist,2026-02-10
510200,SSE,sse_etf_fundlist,2026-02-10
510210,SSE,sse_etf_fundlist,2026-02-10
510230,SSE,sse_etf_fundlist,2026-02-10
510270,SSE,sse_etf_fundlist,2026-02-10
510290,SSE,sse_etf_fundlist,2026-02-10
510300,SSE,sse_etf_fundlist,2026-02-10
510310,SSE,sse_etf_fundlist,2026-02-10
510320,SSE,sse_etf_fundlist,2026-02-10
510330,SSE,sse_etf_fundlist,2026-02-10
510350,SSE,sse_etf_fundlist,2026-02-10
510360,SSE,sse_etf_fundlist,2026-02-10
510370,SSE,sse_etf_fundlist,2026-02-10
510380,SSE,sse_etf_fundlist,2026-02-10
510390,SSE,sse_etf_fundlist,2026-02-10
510410,SSE,sse_etf_fundlist,2026-02-10
510500,SSE,sse_etf_fundlist,2026-02-10
510510,SSE,sse_etf_fundlist,2026-02-10
510530,SSE,sse_etf_fundlist,2026-02-10
510550,SSE,sse_etf_fundlist,2026-02-10
510560,SSE,sse_etf_fundlist,2026-02-10
510570,SSE,sse_etf_fundlist,2026-02-10
510580,SSE,sse_etf_fundlist,2026-02-10
510590,SSE,sse_etf_fundlist,2026-02-10
510600,SSE,sse_etf_fundlist,2026-02-10
510630,SSE,sse_etf_fundlist,2026-02-10
510650,SSE,sse_etf_fundlist,2026-02-10
510660,SSE,sse_etf_fundlist,2026-02-10
510670,SSE,sse_etf_fundlist,2026-02-10
510680,SSE,sse_etf_fundlist,2026-02-10
510710,SSE,sse_etf_fundlist,2026-02-10
510720,SSE,sse_etf_fundlist,2026-02-10
510760,SSE,sse_etf_fundlist,2026-02-10
510770,SSE,sse_etf_fundlist,2026-02-10
510800,SSE,sse_etf_fundlist,2026-02-10
510810,SSE,sse_etf_fundlist,2026-02-10
510850,SSE,sse_etf_fundlist,2026-02-10
510880,SSE,sse_etf_fundlist,2026-02-10
510900,SSE,sse_etf_fundlist,2026-02-10
510950,SSE,sse_etf_fundlist,2026-02-10
510980,SSE,sse_etf_fundlist,2026-02-10
510990,SSE,sse_etf_fundlist,2026-02-10
511010,SSE,sse_etf_fundlist,2026-02-10
511020,SSE,sse_etf_fundlist,2026-02-10
511030,SSE,sse_etf_fundlist,2026-02-10
511060,SSE,sse_etf_fundlist,2026-02-10
511070,SSE,sse_etf_fundlist,2026-02-10
511090,SSE,sse_etf_fundlist,2026-02-10
511100,SSE,sse_etf_fundlist,2026-02-10
511110,SSE,sse_etf_fundlist,2026-02-10
511120,SSE,sse_etf_fundlist,2026-02-10
511130,SSE,sse_etf_fundlist,2026-02-10
511150,SSE,sse_etf_fundlist,2026-02-10
511160,SSE,sse_etf_fundlist,2026-02-10
511180,SSE,sse_etf_fundlist,2026-02-10
511190,SSE,sse_etf_fundlist,2026-02-10
511200,SSE,sse_etf_fundlist,2026-02-10
511220,SSE,sse_etf_fundlist,2026-02-10
511260,SSE,sse_etf_fundlist,2026-02-10
511270,SSE,sse_etf_fundlist,2026-02-10
511360,SSE,sse_etf_fundlist,2026-02-10
511380,SSE,sse_etf_fundlist,2026-02-10
511520,SSE,sse_etf_fundlist,2026-02-10
511580,SSE,sse_etf_fundlist,2026-02-10
511600,SSE,sse_etf_fundlist,2026-02-10
511620,SSE,sse_etf_fundlist,2026-02-10
511650,SSE,sse_etf_fundlist,2026-02-10
511660,SSE,sse_etf_fundlist,2026-02-10
511670,SSE,sse_etf_fundlist,2026-02-10
511690,SSE,sse_etf_fundlist,2026-02-10
511700,SSE,sse_etf_fundlist,2026-02-10
511770,SSE,sse_etf_fundlist,2026-02-10
511800,SSE,sse_etf_fundlist,2026-02-10
511810,SSE,sse_etf_fundlist,2026-02-10
511820,SSE,sse_etf_fundlist,2026-02-10
511830,SSE,sse_etf_fundlist,2026-02-10
511850,SSE,sse_etf_fundlist,2026-02-10
511860,SSE,sse_etf_fundlist,2026-02-10
511880,SSE,sse_etf_fundlist,2026-02-10
511900,SSE,sse_etf_fundlist,2026-02-10
511910,SSE,sse_etf_fundlist,2026-02-10
511920,SSE,sse_etf_fundlist,2026-02-10
511930,SSE,sse_etf_fundlist,2026-02-10
511950,SSE,sse_etf_fundlist,2026-02-10
511960,SSE,sse_etf_fundlist,2026-02-10
511970,SSE,sse_etf_fundlist,2026-02-10
511980,SSE,sse_etf_fundlist,2026-02-10
511990,SSE,sse_etf_fundlist,2026-02-10
512000,SSE,sse_etf_fundlist,2026-02-10
512010,SSE,sse_etf_fundlist,2026-02-10
512020,SSE,sse_etf_fundlist,2026-02-10
512030,SSE,sse_etf_fundlist,2026-02-10
512040,SSE,sse_etf_fundlist,2026-02-10
512050,SSE,sse_etf_fundlist,2026-02-10
512060,SSE,sse_etf_fundlist,2026-02-10
512070,SSE,sse_etf_fundlist,2026-02-10
512080,SSE,sse_etf_fundlist,2026-02-10
512090,SSE,sse_etf_fundlist,2026-02-10
512100,SSE,sse_etf_fundlist,2026-02-10
512120,SSE,sse_etf_fundlist,2026-02-10
512130,SSE,sse_etf_fundlist,2026-02-10
512150,SSE,sse_etf_fundlist,2026-02-10
512160,SSE,sse_etf_fundlist,2026-02-10
512170,SSE,sse_etf_fundlist,2026-02-10
512180,SSE,sse_etf_fundlist,2026-02-10
512190,SSE,sse_etf_fundlist,2026-02-10
512200,SSE,sse_etf_fundlist,2026-02-10
512220,SSE,sse_etf_fundlist,2026-02-10
512240,SSE,sse_etf_fundlist,2026-02-10
512250,SSE,sse_etf_fundlist,2026-02-10
512260,SSE,sse_etf_fundlist,2026-02-10
512290,SSE,sse_etf_fundlist,2026-02-10
512330,SSE,sse_etf_fundlist,2026-02-10
512360,SSE,sse_etf_fundlist,2026-02-10
512370,SSE,sse_etf_fundlist,2026-02-10
512380,SSE,sse_etf_fundlist,2026-02-10
512390,SSE,sse_etf_fundlist,2026-02-10
512400,SSE,sse_etf_fundlist,2026-02-10
512480,SSE,sse_etf_fundlist,2026-02-10
512500,SSE,sse_etf_fundlist,2026-02-10
512510,SSE,sse_etf_fundlist,2026-02-10
512520,SSE,sse_etf_fundlist,2026-02-10
512530,SSE,sse_etf_fundlist,2026-02-10
512550,SSE,sse_etf_fundlist,2026-02-10
512560,SSE,sse_etf_fundlist,2026-02-10
512570,SSE,sse_etf_fundlist,2026-02-10
512580,SSE,sse_etf_fundlist,2026-02-10
512600,SSE,sse_etf_fundlist,2026-02-10
512620,SSE,sse_etf_fundlist,2026-02-10
512630,SSE,sse_etf_fundlist,2026-02-10
512640,SSE,sse_etf_fundlist,2026-02-10
512650,SSE,sse_etf_fundlist,2026-02-10
512660,SSE,sse_etf_fundlist,2026-02-10
512670,SSE,sse_etf_fundlist,2026-02-10
512680,SSE,sse_etf_fundlist,2026-02-10
512690,SSE,sse_etf_fundlist,2026-02-10
512700,SSE,sse_etf_fundlist,2026-02-10
512710,SSE,sse_etf_fundlist,2026-02-10
512720,SSE,sse_etf_fundlist,2026-02-10
512730,SSE,sse_etf_fundlist,2026-02-10
512750,SSE,sse_etf_fundlist,2026-02-10
512760,SSE,sse_etf_fundlist,2026-02-10
512770,SSE,sse_etf_fundlist,2026-02-10
512800,SSE,sse_etf_fundlist,2026-02-10
512810,SSE,sse_etf_fundlist,2026-02-10
